doc_id,year,state_district,filing_type,last_name,first_name,prefix,suffix,filing_date,pdf_status,pdf_type,page_count,pdf_bytes,pdf_path,pdf_url
9114052,2018,,W,Bedolla,Mateo Morelos,,,,stashed,image,1,31014,data/stashed/pdfs/2018/9114052.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/9114052.pdf
10020804,2018,PA11,C,Beiler,Chet,,,4/26/2018,stashed,text,3,66949,data/stashed/pdfs/2018/10020804.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10020804.pdf
10021696,2018,TX14,C,Bell,Adrienne,,,5/7/2018,stashed,text,2,59035,data/stashed/pdfs/2018/10021696.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10021696.pdf
10021978,2018,OH11,C,Bell,James Jerome,Mr.,,5/9/2018,stashed,text,2,53028,data/stashed/pdfs/2018/10021978.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10021978.pdf
10023761,2018,MI06,C,Benac,David T.,Dr.,II,5/25/2018,stashed,text,2,55789,data/stashed/pdfs/2018/10023761.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10023761.pdf
10024628,2018,IL10,C,Bennett,Douglas R.,,,9/6/2018,stashed,text,6,98561,data/stashed/pdfs/2018/10024628.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10024628.pdf
10022474,2018,NY04,C,Benno,Ameer,,,5/25/2018,stashed,text,7,103870,data/stashed/pdfs/2018/10022474.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10022474.pdf
30004355,2018,NY04,X,Benno,Ameer,,,5/22/2018,stashed,text,1,45231,data/stashed/pdfs/2018/30004355.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/30004355.pdf
10026620,2018,CA07,O,Bera,Ami,Hon.,,5/14/2019,stashed,text,9,93374,data/stashed/pdfs/2018/10026620.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10026620.pdf
10029665,2018,MI01,A,Bergman,John,Hon.,,10/9/2019,stashed,text,3,66018,data/stashed/pdfs/2018/10029665.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10029665.pdf
10027910,2018,MI01,O,Bergman,John,Hon.,,5/15/2019,stashed,text,3,64647,data/stashed/pdfs/2018/10027910.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10027910.pdf
9112663,2018,TN09,C,Bergmann,Charlotte,,,4/16/2018,stashed,image,8,250972,data/stashed/pdfs/2018/9112663.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/9112663.pdf
10023338,2018,FL04,C,Berrios,Joceline,Ms.,,5/15/2018,stashed,text,2,60552,data/stashed/pdfs/2018/10023338.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10023338.pdf
10022251,2018,TX04,C,Bethel,Lander Louis,,Jr.,5/10/2018,stashed,text,4,90209,data/stashed/pdfs/2018/10022251.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10022251.pdf
6350,2018,KS02,W,Bevens,Matthew Ryan,,,4/23/2018,stashed,text,1,42686,data/stashed/pdfs/2018/6350.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/6350.pdf
