Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Blunt Rochester	Lisa		P	DE00	2017	9/12/2017	20007972
Hon.	Blunt Rochester	Lisa		P	DE00	2017	9/12/2017	20007972
Hon.	Blunt Rochester	Lisa		P	DE00	2017	12/7/2017	20008520
Hon.	Blunt Rochester	Lisa		P	DE00	2017	12/7/2017	20008520
	Boatner	John Burke	Jr.	C	TN08	2017	11/13/2017	10019381
Mr.	Bolena	Donald Patrick	Jr.	D	GA06	2017	4/27/2017	9110699
	Bolhafner	Susan		D	MO01	2017	11/16/2017	9112054
Hon.	Bonamici	Suzanne		O	OR01	2017	5/30/2018	10020437
Hon.	Bonamici	Suzanne		X	OR01	2017	4/26/2018	30004027
	Bond	Tiffany		D	ME02	2017	2/20/2018	40001137
Mr.	Bonham	Paul		C	NC12	2017	4/16/2018	10018493
Mr.	Bonham	Paul		D	NC12	2017	8/17/2017	9111670
	Bonner	Jay Alan		D	FL20	2017	11/17/2017	9112081
	Bonner	Jay Alan		D	FL20	2017	4/19/2018	40001190
	Boone	Tanya		C	NY21	2017	12/19/2017	10019583
Hon.	Bordallo	Madeleine Z.		O	GU00	2017	5/15/2018	10020963
	Borrelli	Tamborine		D	WA10	2017	6/21/2018	40001271
Hon.	Bost	Michael		O	IL12	2017	6/12/2018	10021799
Hon.	Bost	Michael		X	IL12	2017	5/7/2018	30004158
	Bourdeaux	Carolyn		C	DC00	2017	11/2/2017	10018338
	Bourdeaux	Carolyn		X	DC00	2017	8/15/2017	30003626
Hon.	Boustany	Charles W.	Jr.	T	LA03	2017	2/2/2017	9110407
	Boyajian	Don		C	NY21	2017	9/8/2017	9111749
Hon.	Boyle	Brendan F.		O	PA13	2017	8/10/2018	10024425
Hon.	Boyle	Brendan F.		X	PA13	2017	5/8/2018	9112790
Mr.	Brady	Dwight John		C	MI01	2017	2/22/2018	9112468
Mr.	Brady	Dwight John		W		2017		9112505
Hon.	Brady	Kevin		A	TX08	2017	12/6/2018	9114215
Hon.	Brady	Kevin		O	TX08	2017	9/11/2018	10024670
Hon.	Brady	Kevin		X	TX08	2017	5/24/2018	9113161
Hon.	Brady	Robert A.		O	PA01	2017	8/8/2018	10023061
Hon.	Brady	Robert A.		X	PA01	2017	5/15/2018	30004583
Hon.	Brat	David Alan Mr		O	VA07	2017	5/10/2018	10021880
	Braun	Steven J.		C	IN04	2017	12/19/2017	10018956
